AFFX-CreX-3_st,AC000061_cds3_at,AC002115_rna2_at,D43638_at,D87684_at,HG384-HT384_at,HG3987-HT4257_at,K01911_at,L05500_at,L27560_at,L33799_at,M20530_at,M26061_at,M55593_at,M84526_at,M96739_at,S71824_at,U21936_at,U31201_cds1_at,U37143_at,U60519_at,X12901_at,X15880_at,X15882_at,X54162_at,X54938_at,X56692_at,X58723_at,X71348_at,X99050_rna1_at,Y07604_at,D86974_at,AB000381_s_at,AF001787_s_at,J02947_s_at,U05012_s_at,U29943_s_at,CLASS
0.621543,0.011765,-0.452326,-0.824766,-0.813163,-0.664305,-0.533174,-0.065101,0.344498,-0.845375,-0.810313,0.172619,-0.819396,-0.904717,0.565907,-0.922831,-0.375289,0.45679,0.416058,-0.121597,-0.331115,0.123367,-0.871801,-0.877623,-0.302211,-0.733177,-0.530769,0.185328,-0.02439,-0.435644,0.039468,-0.81365,-0.531915,0.182674,-0.567158,-0.573446,0.184753,normal
0.445415,-0.219608,-0.334859,-0.767134,-0.884137,0.296373,-0.386635,0.387407,-0.126794,-0.350821,-0.598183,-0.104167,-0.917965,-0.719793,0.074331,-0.690577,-0.338269,0.130864,-0.00365,-0.284936,-0.391015,0.091437,-0.675036,-0.483067,-0.44226,-0.370392,-0.784615,0.104247,0.204878,-0.155116,-0.24612,-0.428674,-0.276596,0.050847,-0.771224,-0.06403,0.168767,normal
0.895197,-0.078431,-0.336384,-0.586449,-0.422505,0.315548,-0.729833,0.27428,0.339713,-0.442553,-0.57307,0.559524,-0.94213,-0.747375,0.417245,0.673147,0.955576,-0.451852,0.237226,0.045372,-0.517471,0.317852,-0.375664,-0.84438,-0.222359,-0.086015,-0.165385,0.320463,-0.278049,-0.264026,-0.331264,-0.845734,0.271277,0.039548,-0.693105,-0.013183,0.422687,normal
0.011645,-0.164706,-0.196034,-0.03972,-0.694268,0.973044,-1,-0.216649,0.406699,-0.631232,-0.975421,0.169643,1,-0.607272,-0.591675,-0.944581,-0.74919,0.37284,-0.076642,0.756806,0.420965,0.285922,-0.639305,-0.899231,1,-0.973084,-0.442308,0.196911,-1,-0.405941,-0.566297,-0.570823,0.414894,1,-0.704663,-1,0.090071,normal
0.930131,0.270588,-0.003814,-0.30919,-0.698514,0.545366,-0.594272,0.199573,0.23445,-0.04832,-0.320866,-0.008929,-0.875994,-0.670898,0.575818,-0.42838,-0.645534,-0.101235,0.624088,-0.190563,-0.610649,0.416546,-0.350072,-0.651361,-0.342752,-0.303686,-0.384615,0.277992,0.443902,-0.514851,-0.151663,-0.790741,-0.085106,0.389831,-0.817856,-0.131827,0.220412,normal
0.449782,-0.047059,-0.57132,-0.757788,-0.811344,-0.804085,-0.790931,-1,-0.038278,-0.422304,-0.222014,-0.241071,-0.797774,-0.586585,-0.232904,-0.328566,-0.627025,0.432099,-0.306569,0.455535,0.866889,0.364296,-0.580396,-0.431747,-0.332924,-0.514336,0.165385,0.135135,-0.902439,-0.211221,-0.259424,-0.491117,-0.675532,-0.13371,-0.610203,-0.564972,0.134952,normal
-0.085881,-0.168627,0.624714,0.077103,1,-0.8127,1,0.267876,0.287081,-0.381193,-0.393,0.342262,-0.797774,-0.701614,0.494549,0.156052,-0.760296,-0.125926,0.076642,0.328494,-0.181364,-0.018868,0.037663,-0.610222,-0.179361,-0.552955,-0.080769,0.416988,-0.312195,-0.049505,-1,-0.833696,0.941489,0.178908,-0.019131,-0.126177,0.892407,normal
-1,0.898039,-0.537757,-0.407321,-0.711859,-0.798527,0.586635,-0.916756,-0.940191,-0.02439,-0.638792,1,-0.788871,-0.410124,-0.355798,-0.480819,-0.554836,-0.076543,-0.543796,1,0.021631,-1,0.528489,-0.574278,-0.431204,0.177297,-0.346154,-1,-0.268293,-0.488449,-0.697118,-0.480007,0.579787,0.834275,0.932244,-0.094162,0.22656,normal
0.745269,0.007843,0.199085,-0.517913,-0.751896,-0.589829,-0.556086,0.299893,0.181818,0.559442,0.86428,-0.270833,-0.918601,-0.438019,0.433102,-0.928939,-0.616844,0.298765,0.116788,0.299456,-0.47421,0.207547,-0.013037,1,-0.207617,-0.736688,-0.084615,0.258687,-0.385366,0.023102,-0.272727,-0.038156,-0.042553,0.092279,-0.420486,-0.10452,0.069782,normal
0.719068,0.015686,-0.812357,-0.267134,-0.693054,-0.66486,-0.345107,0.671291,-0.179426,0.191287,-0.401015,-0.029762,-0.849285,-0.680614,0.341923,-0.084246,-0.707543,0.82716,0.485401,-0.255898,0.018303,0.34688,0.335828,-0.519634,-0.237101,-0.495611,-0.192308,0.138996,0.780488,-0.056106,-0.497118,-0.541364,1,0.062147,0.365484,0.323917,0.254227,normal
